31.0,439645
33.0,419030
39.0,238205
28.0,473908
29.0,472620
16.0,130567
15.0,98974
34.0,380575
38.0,268084
32.0,438792
42.0,162236
26.0,436743
27.0,454242
25.0,434368
20.0,277565
24.0,413657
30.0,451317
12.0,38694
22.0,333169
13.0,52487
37.0,308381
52.0,24440
23.0,370950
36.0,335061
14.0,71185
19.0,229964
53.0,19623
48.0,58542
21.0,309227
43.0,137398
40.0,217403
18.0,187117
49.0,47907
47.0,68163
44.0,121709
54.0,14608
41.0,193552
50.0,37716
35.0,352823
45.0,103772
46.0,83957
17.0,158503
67.0,218
51.0,29934
11.0,25290
57.0,6989
10.0,14974
55.0,11123
64.0,735
56.0,8812
60.0,2576
8.0,5152
9.0,8606
5.0,345
62.0,1402
59.0,3518
6.0,1190
58.0,4989
68.0,128
61.0,2109
65.0,512
69.0,139
7.0,2885
63.0,870
70.0,80
66.0,352
4.0,77
71.0,43
73.0,19
72.0,23
74.0,11
3.0,7
76.0,4
77.0,3
78.0,1
80.0,1
75.0,3
79.0,1
